mgr_ip,event_time,origin,origin_name,s_info,s_port,d_info,d_port,protocol,status,method,count
10.46.126.98,2018-08-09 9:15,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.55.248,59231,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:15,109.0.101.18,傈合档没_夯没_郴何_FW01,109.3.115.123,45464,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:15,109.0.101.18,傈合档没_夯没_郴何_FW01,109.3.148.35,54785,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:15,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.79.248,42319,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:15,109.0.101.18,傈合档没_夯没_郴何_FW01,109.3.112.210,34770,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:14,109.0.101.18,傈合档没_夯没_郴何_FW01,109.11.68.247,51556,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:15,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.54.248,50890,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:15,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.59.248,58952,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:37,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.56.248,51459,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:37,109.0.101.18,傈合档没_夯没_郴何_FW01,109.6.5.241,42704,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:38,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.56.248,51460,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.3.148.35,54819,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.103.112,56198,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.15.242,49311,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.109.112,40568,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.106.112,44875,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.12.107.112,33496,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.52.248,43173,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:38,109.0.101.18,傈合档没_夯没_郴何_FW01,109.3.112.210,34826,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.55.248,59265,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.6.115.51,42416,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
10.46.126.98,2018-08-09 9:39,109.0.101.18,傈合档没_夯没_郴何_FW01,109.2.79.248,42353,45.77.36.178,22,TCP( 6 ),Accept( 101 ),null,1
